id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44452,Yonge & Bloor Studio Skyline,195095,1462512343678917146,Urbano,,Rosedale-Moore Park,43.67193,-79.3859,Entire home/apt,,28,68,2025-10-22,0.37,13,261,1,
44469,Yonge & Bloor 2 Bedroom Apartment,195095,1462512343678917146,Urbano,,Rosedale-Moore Park,43.67129,-79.38634,Private room,,30,8,2017-08-27,0.05,13,365,0,
45399,Fountain View Studio - Eaton center,195095,1462512343678917146,Urbano,,Bay Street Corridor,43.66123,-79.38336,Entire home/apt,,28,89,2024-08-17,0.48,13,357,0,
45893,Yonge & Bloor Lakeview Master BR,195095,1462512343678917146,Urbano,,Rosedale-Moore Park,43.6718,-79.38488,Private room,,28,24,2024-08-31,0.13,13,365,0,
50110,Yorkville one bedroom Condo,195095,1462512343678917146,Urbano,,Church-Yonge Corridor,43.66899,-79.38559,Entire home/apt,,28,61,2024-08-30,0.33,13,365,0,
62545,Furnished Heritage Rooms Downtown 1,304551,1462515181382834984,Kintoo,,Niagara,43.64611,-79.4071,Private room,,28,23,2019-12-20,0.13,7,349,0,
64641,Furnished Heritage Rooms Downtown 3,304551,1462515181382834984,Kintoo,,Niagara,43.64453,-79.40736,Private room,,30,28,2025-12-23,0.15,7,365,3,
64645,Furnished Downtown Suite with Private Washroom,304551,1462515181382834984,Kintoo,,Niagara,43.64475,-79.40905,Private room,,30,18,2025-12-31,0.10,7,200,4,
66856,Furnished Downtown Room,304551,1462515181382834984,Kintoo,,Niagara,43.64642,-79.40736,Private room,,30,5,2024-10-03,0.03,7,229,0,
71118,Downtown Loft Suite with Private Washroom,304551,1462515181382834984,Kintoo,,Niagara,43.64605,-79.4069,Entire home/apt,,30,13,2023-10-23,0.07,7,173,0,
84151,North City View DT Apartment,195095,1462512343678917146,Urbano,,Rosedale-Moore Park,43.67138,-79.38424,Entire home/apt,,30,23,2024-02-02,0.13,13,365,0,
96336,John & Bren's Queen West 3 bedroom townhouse,511506,1462520343270102517,Brenda,,Niagara,43.64388,-79.41011,Entire home/apt,,1,179,2025-09-14,1.20,1,49,13,STR-2009-FXRRPD
112842,Gorgeous Condo near High Park!!,575127,1462522312765601112,Micheline,,High Park North,43.65703,-79.46719,Entire home/apt,,120,12,2017-03-05,0.07,1,348,0,
119441,STYLISH  LAKEVIEW / KING SIZE BED/DOWNTOWN+PARKING,174063,1462511755721846215,Denis,,South Parkdale,43.63737,-79.44022,Entire home/apt,,28,86,2025-10-22,0.48,2,272,1,
131401,Waterfront Luxury Suite 1 Bd - Downtown,604233,1462523249286408132,Fuaad,,Niagara,43.63649,-79.40171,Entire home/apt,,150,11,2023-05-17,0.09,1,168,0,
146601,Modern 1BR Downtown - Blue Jays Way,436139,1462518392420817928,Brian,,Waterfront Communities-The Island,43.64584,-79.39051,Entire home/apt,,28,8,2021-09-30,0.05,1,365,0,STR-2303-FPCPHQ
153000,"1,100SqFt. 2B+Den Rogers/Convention Centre, TIFF",735795,1462527780565947062,Khamraj,,Waterfront Communities-The Island,43.64494,-79.39123,Entire home/apt,,2,64,2025-11-14,0.36,1,255,11,STR-2408-JCKSBZ
154743,Downtown Yorkville Toronto,744412,1462513933519663858,Gloria,,Church-Yonge Corridor,43.67018,-79.38372,Entire home/apt,,30,70,2025-07-02,0.40,1,310,2,
184784,2 bd Apt at Yonge & Bloor Yorkville,656777,1462525155169941540,Pere,,Church-Yonge Corridor,43.67005,-79.38372,Entire home/apt,,150,64,2025-01-19,0.37,1,95,1,
186342,LUXE Bayview Village 3BR /w 2-Car Garage,895337,1462532599847502754,Wayne,,Bayview Village,43.77554,-79.38989,Entire home/apt,,30,0,,,1,173,0,
192860,modern clean quiet 2B@ High Park -40% monthly,533496,1462520971098948620,Eberhard,,Junction Area,43.66492,-79.47384,Entire home/apt,,31,129,2024-02-29,0.74,2,196,0,STR-2010-FPPDPC
